City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,zhezqazghan,47.7833,67.7667,275.47,100,100,4.0,KZ,2023-11-11
183,domodossola,46.1165,8.2931,278.86,85,30,3.7,IT,2023-11-11
184,bireun,5.203,96.7009,300.48,72,100,0.83,ID,2023-11-11
185,guerrero negro,27.9769,-114.0611,293.1,54,0,6.58,MX,2023-11-11
186,fortuna,40.5982,-124.1573,284.78,92,100,0.0,US,2023-11-11
187,codrington,-38.2667,141.9667,289.48,50,7,7.09,AU,2023-11-11
188,cidade velha,14.9167,-23.6167,297.41,73,20,4.63,CV,2023-11-11
189,tofol,5.3248,163.0078,300.03,83,100,5.14,FM,2023-11-11
190,mancio lima,-7.6142,-72.8958,299.03,75,12,1.14,BR,2023-11-11
191,kurayoshi,35.4333,133.8167,284.59,79,100,4.26,JP,2023-11-11
192,okhotsk,59.3833,143.3,257.88,81,9,9.53,RU,2023-11-11
193,port alfred,-33.5906,26.891,291.03,91,67,3.58,ZA,2023-11-11
194,bardai,11.65,7.2333,295.9,22,98,2.69,NG,2023-11-11
195,marsabit,2.3284,37.9899,292.18,79,77,3.08,KE,2023-11-11
196,xining,36.6167,101.7667,274.28,44,0,1.12,CN,2023-11-11
197,khandyga,62.6667,135.6,243.81,97,80,0.2,RU,2023-11-11
198,remire-montjoly,4.9167,-52.2667,300.68,82,8,6.41,GF,2023-11-11
199,port lincoln,-34.7333,135.8667,289.71,55,84,8.32,AU,2023-11-11
200,flin flon,54.7682,-101.865,270.56,92,8,2.59,CA,2023-11-11
201,kerikeri,-35.2268,173.9474,291.78,57,24,3.81,NZ,2023-11-11
202,berea,41.3662,-81.8543,278.36,78,100,2.57,US,2023-11-11
203,olinda,-8.0089,-34.8553,300.0,74,20,3.09,BR,2023-11-11
204,plastun,44.7561,136.2939,270.28,45,1,6.2,RU,2023-11-11
205,kidal,18.4411,1.4078,298.58,13,80,2.76,ML,2023-11-11
